start	end	label
2.3	4.3	aa
4.3	6.3	ee
6.3	8.3	uu
8.3	10.3	oo
10.3	12.3	ii
12.3	14.3	xx
14.3	16.3	ii
16.3	18.3	xx
18.3	20.3	ii
20.3	22.3	xx
22.3	24.3	ii
24.3	26.3	xx
26.3	28.3	ii
28.3	30.3	xx
30.3	32.3	aa
32.3	34.3	ee
34.3	36.3	uu
36.3	38.3	oo
2.3	38.3	bb1
12.3	14.3	aa
14.3	16.3	ee
16.3	18.3	uu
18.3	20.3	oo
20.3	22.3	ii
22.3	24.3	xx
24.3	26.3	ii
26.3	28.3	xx
28.3	30.3	ii
30.3	32.3	xx
32.3	34.3	ii
34.3	36.3	xx
36.3	38.3	ii
38.3	40.3	xx
40.3	42.3	aa
42.3	44.3	ee
44.3	46.3	uu
46.3	48.3	oo
12.3	48.3	bb2
22.3	24.3	aa
24.3	26.3	ee
26.3	28.3	uu
28.3	30.3	oo
30.3	32.3	ii
32.3	34.3	xx
34.3	36.3	ii
36.3	38.3	xx
38.3	40.3	ii
40.3	42.3	xx
42.3	44.3	ii
44.3	46.3	xx
46.3	48.3	ii
48.3	50.3	xx
50.3	52.3	aa
52.3	54.3	ee
54.3	56.3	uu
56.3	58.3	oo
22.3	58.3	bb3
32.3	34.3	aa
34.3	36.3	ee
36.3	38.3	uu
38.3	40.3	oo
40.3	42.3	ii
42.3	44.3	xx
44.3	46.3	ii
46.3	48.3	xx
48.3	50.3	ii
50.3	52.3	xx
52.3	54.3	ii
54.3	56.3	xx
56.3	58.3	ii
58.3	60.3	xx
60.3	62.3	aa
62.3	64.3	ee
64.3	66.3	uu
66.3	68.3	oo
32.3	68.3	bb4
